line_id,industry_name,avg_price_growth,avg_quantity_growth,vol_price_growth,vol_quantity_growth,avg_qp_ratio,growth_regime,cluster_id
43,Water transportation,0.009870117176788451,0.012855607428129906,0.08904386995738775,0.10562636123286905,-1.536155461863643,balanced,0
44,Truck transportation,0.010472130684150741,0.0023728299829484023,0.03678146958208991,0.03894809472648373,-0.675827051419402,balanced,0
45,Transit and ground passenger transportation,-0.002579602971677475,0.025341855597059235,0.02106666500119988,0.08615657916193831,1.9924512343261367,quantity_led,0
46,Pipeline transportation,0.010567415117756124,-3.6975717197682866e-05,0.018364515296998007,0.04382095848263383,0.21156969981546656,balanced,0
47,Other transportation and support activities,0.013486370170680773,0.005266201682253075,0.03762393072528692,0.04202493113427159,-0.7119583998408732,balanced,0
48,Warehousing and storage,0.017494352429011296,0.006394539511152959,0.0333959989164604,0.042951176578666844,-0.9967801183062318,balanced,0
49,Information,-0.002172653800167179,0.019416699405630625,0.007164688316905566,0.0166066260737902,1.103866215424954,balanced,0
50,"Publishing industries, except internet (includes software)",-0.0010665601178488188,0.023257751675640086,0.014540082444528316,0.021672050220544692,-29.406057048172382,quantity_led,2
51,Motion picture and sound recording industries,0.0017329701274439312,0.012779657503653584,0.022150837527949746,0.07552999126464276,-2.2325927102175753,balanced,0
52,Broadcasting and telecommunications,-0.0022021658587982234,0.004157004168337094,0.012260604443640691,0.017287564622195842,-0.11034758572295826,balanced,0
53,"Data processing, internet publishing, and other information services",-0.003935578694916437,0.03793993857588816,0.007113658924586603,0.024981379412955456,-38.46947843757518,quantity_led,2
54,"Finance, insurance, real estate, rental, and leasing",0.009592642770886282,0.006488113568967773,0.00558480677456617,0.008960898677273075,1.427632002554091,balanced,0
55,Finance and insurance,0.01196992063633231,0.004433427118110582,0.009321732058807493,0.01768318990572321,0.6050010387069212,balanced,0
56,"Federal Reserve banks, credit intermediation, and related activities",0.012284857075404191,0.0039259019263122395,0.018883894698258213,0.025128103830189038,-0.7340280790203524,balanced,0
57,"Securities, commodity contracts, and investments",0.016622957605376028,0.0076555451614949985,0.05196853390629103,0.056072042701387416,-0.6833273547437674,balanced,0
58,Insurance carriers and related activities,0.009184536026649225,0.0034966282554684544,0.012167442623659602,0.02352512126850103,9.558451958771249,balanced,0
59,"Funds, trusts, and other financial vehicles",0.35651158580896525,0.31332400209726113,1.2187402358408699,1.1435579821875954,-1.244986103510003,balanced,1
60,Real estate and rental and leasing,0.008258059858000716,0.007723430702411043,0.0050508585287748235,0.009610696993002687,1.394654379286033,balanced,0
61,Real estate,0.008353069591107981,0.007269014250873175,0.005428121395245184,0.0069989419639317554,2.8929875664416302,balanced,0
64,Rental and leasing services and lessors of intangible assets,0.007374207066637679,0.013740421245847505,0.01028390574390616,0.056464932788656906,-4.282538446691899,balanced,0
65,Professional and business services,0.0045133734772023456,0.010915136639789425,0.005140424345182351,0.02145443206549487,-0.020782605845519005,balanced,0
66,"Professional, scientific, and technical services",0.003216957800772932,0.013155006225316217,0.005198847307830051,0.019831134757402193,6.237978360551817,balanced,0
67,Legal services,0.015544199260474744,0.0005331657538787738,0.008005858028087967,0.024103372359131146,-0.2028423915908309,balanced,0
68,Computer systems design and related services,-0.007639550776574032,0.02205681448609113,0.0133191120284705,0.016551598918227054,-3.895824356826893,quantity_led,0
69,"Miscellaneous professional, scientific, and technical services",0.0039030202231723375,0.013556985222722433,0.00670032396052327,0.02617895379076066,4.062599420552343,balanced,0
70,Management of companies and enterprises,0.0030618793565810646,0.010256330367713163,0.012287136429327208,0.018604696138524227,4.0611853414213375,balanced,0
71,Administrative and waste management services,0.008745854628676494,0.00592309330513883,0.005728968120872056,0.03559047423857304,-0.03413936733215548,balanced,0
72,Administrative and support services,0.007964292426610373,0.006495229220431106,0.005680331533630979,0.0365201700240433,-0.38860909465987925,balanced,0
73,Waste management and remediation services,0.01659311175726337,0.0005818475145688657,0.018457425877331436,0.03191764021217946,-0.5885895510710802,balanced,0
74,"Educational services, health care, and social assistance",0.006906534128217737,0.00845623651908967,0.00397719993212583,0.03803973052084374,1.4701548463690923,balanced,0
75,Educational services,0.007019057106580156,0.0032253201330836234,0.003241262981853054,0.02755349773651204,-2.178045653682276,balanced,0
76,Health care and social assistance,0.006888673637890459,0.009316595660188257,0.004240160013463374,0.040756288647052344,2.8019795163702637,balanced,0
77,Ambulatory health care services,0.0047782964291054365,0.012520639586147762,0.0048667636999426295,0.06298551982379401,1.816824717075986,balanced,0
78,Hospitals,0.008185614257782935,0.006074270770322984,0.006122594910255031,0.023851331089670146,-0.844792622572321,balanced,0
79,Nursing and residential care facilities,0.009584922550760828,0.005047468564641356,0.007182708765401713,0.015518724830924872,2.7454039495873004,balanced,0
80,Social assistance,0.010660343454664791,0.011416787939416825,0.008006117991516862,0.0471384496897027,1.9147316593346277,balanced,0
81,"Arts, entertainment, recreation, accommodation, and food services",0.012744452595306915,0.010723994196957472,0.010802231351041155,0.1258373093087478,14.872988896661534,balanced,0
82,"Arts, entertainment, and recreation",0.01014645441770177,0.018451303271153182,0.013733840414883047,0.13643285675056768,-1.6081772871565942,balanced,0
83,"Performing arts, spectator sports, museums, and related activities",0.008481725112588424,0.020016460982245778,0.01802802382120527,0.1280884017111071,-5.851890635011489,quantity_led,0
84,"Amusements, gambling, and recreation industries",0.012487308437972931,0.018592723929290577,0.011720379259284342,0.17032042991482843,15.139375961979027,balanced,0
85,Accommodation and food services,0.013600789928771565,0.008487255261545819,0.012427247240427427,0.1241823791512183,-86.35584398091774,balanced,3
86,Accommodation,0.009771714333449496,0.01998051429307873,0.03570370630767474,0.18192741047195096,-1.0657619190301457,balanced,0
87,Food services and drinking places,0.015230361886982248,0.005451302283454083,0.011518990069759164,0.108696557090642,-0.9365116904489733,balanced,0
