line_id,period,metric,value
6,2019-Q4,quantity_index,116.580000
7,2019-Q4,quantity_index,126.072000
8,2019-Q4,quantity_index,100.950000
9,2019-Q4,quantity_index,107.075000
10,2019-Q4,quantity_index,105.603000
11,2019-Q4,quantity_index,105.058000
26,2019-Q4,quantity_index,96.724000
27,2019-Q4,quantity_index,91.499000
28,2019-Q4,quantity_index,111.473000
12,2019-Q4,quantity_index,105.750000
25,2019-Q4,quantity_index,106.389000
14,2019-Q4,quantity_index,101.877000
29,2019-Q4,quantity_index,115.173000
30,2019-Q4,quantity_index,99.227000
31,2019-Q4,quantity_index,112.725000
32,2019-Q4,quantity_index,107.655000
33,2019-Q4,quantity_index,106.461000
15,2019-Q4,quantity_index,103.380000
16,2019-Q4,quantity_index,121.648000
17,2019-Q4,quantity_index,101.779000
18,2019-Q4,quantity_index,101.791000
19,2019-Q4,quantity_index,111.919000
20,2019-Q4,quantity_index,96.621000
21,2019-Q4,quantity_index,103.787000
22,2019-Q4,quantity_index,104.652000
23,2019-Q4,quantity_index,97.481000
24,2019-Q4,quantity_index,101.855000
13,2019-Q4,quantity_index,105.220000
34,2019-Q4,quantity_index,103.277000
36,2019-Q4,quantity_index,111.498000
37,2019-Q4,quantity_index,100.528000
35,2019-Q4,quantity_index,107.849000
38,2019-Q4,quantity_index,104.308000
41,2019-Q4,quantity_index,108.078000
42,2019-Q4,quantity_index,88.708000
43,2019-Q4,quantity_index,93.734000
44,2019-Q4,quantity_index,99.368000
45,2019-Q4,quantity_index,127.313000
46,2019-Q4,quantity_index,82.311000
47,2019-Q4,quantity_index,107.376000
40,2019-Q4,quantity_index,104.314000
48,2019-Q4,quantity_index,121.095000
39,2019-Q4,quantity_index,109.337000
49,2019-Q4,quantity_index,119.844000
50,2019-Q4,quantity_index,124.777000
51,2019-Q4,quantity_index,92.095000
52,2019-Q4,quantity_index,112.447000
53,2019-Q4,quantity_index,143.811000
55,2019-Q4,quantity_index,104.260000
56,2019-Q4,quantity_index,105.004000
57,2019-Q4,quantity_index,90.245000
58,2019-Q4,quantity_index,111.573000
59,2019-Q4,quantity_index,7.676000
60,2019-Q4,quantity_index,106.542000
61,2019-Q4,quantity_index,105.531000
64,2019-Q4,quantity_index,117.880000
66,2019-Q4,quantity_index,114.374000
67,2019-Q4,quantity_index,101.315000
69,2019-Q4,quantity_index,114.107000
68,2019-Q4,quantity_index,126.520000
70,2019-Q4,quantity_index,114.461000
71,2019-Q4,quantity_index,107.815000
72,2019-Q4,quantity_index,108.567000
73,2019-Q4,quantity_index,100.391000
74,2019-Q4,quantity_index,107.014000
75,2019-Q4,quantity_index,104.858000
76,2019-Q4,quantity_index,107.378000
77,2019-Q4,quantity_index,109.866000
78,2019-Q4,quantity_index,104.669000
79,2019-Q4,quantity_index,101.632000
80,2019-Q4,quantity_index,110.732000
81,2019-Q4,quantity_index,105.592000
82,2019-Q4,quantity_index,111.349000
83,2019-Q4,quantity_index,115.342000
84,2019-Q4,quantity_index,105.679000
85,2019-Q4,quantity_index,103.606000
86,2019-Q4,quantity_index,104.782000
87,2019-Q4,quantity_index,103.203000
88,2019-Q4,quantity_index,105.105000
54,2019-Q4,quantity_index,105.686000
1,2019-Q4,quantity_index,107.003000
65,2019-Q4,quantity_index,112.738000
2,2019-Q4,quantity_index,107.577000
3,2020-Q1,quantity_index,102.054000
4,2020-Q1,quantity_index,97.614000
5,2020-Q1,quantity_index,112.988000
6,2020-Q1,quantity_index,121.596000
7,2020-Q1,quantity_index,135.974000
8,2020-Q1,quantity_index,105.757000
9,2020-Q1,quantity_index,103.517000
10,2020-Q1,quantity_index,104.034000
11,2020-Q1,quantity_index,103.554000
26,2020-Q1,quantity_index,97.830000
27,2020-Q1,quantity_index,90.347000
28,2020-Q1,quantity_index,109.789000
12,2020-Q1,quantity_index,103.066000
25,2020-Q1,quantity_index,103.321000
14,2020-Q1,quantity_index,104.948000
29,2020-Q1,quantity_index,117.676000
30,2020-Q1,quantity_index,95.090000
31,2020-Q1,quantity_index,87.797000
32,2020-Q1,quantity_index,108.905000
33,2020-Q1,quantity_index,103.491000
15,2020-Q1,quantity_index,99.849000
16,2020-Q1,quantity_index,129.838000
17,2020-Q1,quantity_index,100.242000
18,2020-Q1,quantity_index,97.930000
19,2020-Q1,quantity_index,111.151000
20,2020-Q1,quantity_index,96.753000
21,2020-Q1,quantity_index,96.358000
22,2020-Q1,quantity_index,101.509000
23,2020-Q1,quantity_index,96.659000
24,2020-Q1,quantity_index,96.708000
13,2020-Q1,quantity_index,102.830000
34,2020-Q1,quantity_index,104.308000
36,2020-Q1,quantity_index,99.930000
37,2020-Q1,quantity_index,104.537000
35,2020-Q1,quantity_index,105.118000
38,2020-Q1,quantity_index,107.059000
41,2020-Q1,quantity_index,106.957000
42,2020-Q1,quantity_index,87.001000
43,2020-Q1,quantity_index,100.209000
44,2020-Q1,quantity_index,98.623000
45,2020-Q1,quantity_index,122.497000
46,2020-Q1,quantity_index,81.362000
47,2020-Q1,quantity_index,108.887000
40,2020-Q1,quantity_index,103.670000
48,2020-Q1,quantity_index,122.749000
39,2020-Q1,quantity_index,106.756000
49,2020-Q1,quantity_index,118.249000
