line_id,year,quarter,employment_thousands,avg_hourly_earnings,avg_weekly_earnings,period,employment_thousands_growth,avg_hourly_earnings_growth,avg_weekly_earnings_growth
24,2023,1,630.3666666666667,29.76,1157.6633333333332,2023-Q1,-0.0025317791022733127,0.005065856129685908,0.012011294463206923
24,2023,2,626.3000000000001,30.53,1178.4366666666667,2023-Q2,-0.006451271746602427,0.0258736559139785,0.01794419218022525
24,2023,3,625.7666666666668,30.790000000000003,1188.4933333333333,2023-Q3,-0.0008515620841981208,0.008516213560432417,0.00853390508894547
24,2023,4,622.0666666666667,31.296666666666667,1218.4566666666667,2023-Q4,-0.005912747030309529,0.016455559164230804,0.025211191760997176
24,2024,1,620.5333333333333,31.810000000000002,1250.1866666666667,2024-Q1,-0.0024649019397707805,0.01640217275535205,0.026041139474253017
24,2024,2,615.9666666666667,32.60333333333333,1285.64,2024-Q2,-0.0073592608508809,0.024939746410981734,0.028358431807516737
24,2024,3,613.0,33.156666666666666,1296.4633333333334,2024-Q3,-0.004816277937117808,0.01697167978734293,0.008418634558144733
24,2024,4,614.2666666666668,33.40333333333333,1313.83,2024-Q4,0.002066340402392841,0.0074394289735597585,0.013395416762011392
24,2025,1,613.6,33.72,1331.9733333333334,2025-Q1,-0.0010853049706969209,0.009480091807204882,0.013809498438407841
24,2025,2,613.7333333333333,33.64333333333333,1328.9033333333334,2025-Q2,0.00021729682746629564,-0.002273625939106405,-0.002304850947966841
24,2025,3,612.5333333333333,34.053333333333335,1345.1033333333332,2025-Q3,-0.0019552465783185813,0.01218666402457158,0.012190502946038073
24,2025,4,611.0666666666667,34.486666666666665,1370.2733333333333,2025-Q4,-0.002394427514148756,0.012725137039937273,0.018712317021492897
24,2026,1,609.1999999999999,34.82333333333333,1387.1366666666665,2026-Q1,-0.0030547676194634388,0.009762226947612529,0.012306547112254984
24,2026,2,612.2,35.209999999999994,1399.6,2026-Q2,0.004924491135916087,0.01110366612424607,0.008984935394493743
25,2019,1,4764.666666666667,24.903333333333336,999.4433333333333,2019-Q1,,,
25,2019,2,4773.666666666667,25.016666666666666,998.9966666666666,2019-Q2,0.001888904435427552,0.004550930263686137,-0.0004469154496002936
25,2019,3,4784.666666666667,25.263333333333335,1002.9566666666666,2019-Q3,0.002304308358354934,0.009860093271152781,0.003963977190447832
25,2019,4,4790.333333333333,25.506666666666664,1011.7666666666668,2019-Q4,0.0011843388602479354,0.00963187755640571,0.008784028555570922
25,2020,1,4772.0,25.86,1027.5133333333333,2020-Q1,-0.003827151903138204,0.01385258755880825,0.015563535729581801
25,2020,2,4441.0,26.64,1029.1499999999999,2020-Q2,-0.06936295054484498,0.030162412993039567,0.001592842266442407
25,2020,3,4553.0,26.483333333333334,1049.63,2020-Q3,0.025219545147489253,-0.005880880880880901,0.01989991740756958
25,2020,4,4605.0,26.486666666666668,1059.46,2020-Q4,0.011421041071820737,0.0001258653241031915,0.009365204881720102
25,2021,1,4629.666666666667,26.703333333333333,1069.0266666666666,2021-Q1,0.005356496561708335,0.008180216461112444,0.009029757297742913
25,2021,2,4644.0,27.083333333333332,1088.7366666666667,2021-Q2,0.003095975232198178,0.014230433154412747,0.01843733240206058
